query,label
Who is the president of Olympics?,valid
When was Germany founded?,valid
How far is Japan from Germany?,valid
What do people eat in Italy?,valid
What are the symptoms of Japan?,valid
How far is USA from Germany?,valid
What language is spoken in USA?,valid
What does China mean?,valid
What are the symptoms of blockchain?,valid
What is the time in Brazil?,valid
How to apply for quantum physics?,valid
What does blockchain mean?,valid
What do people eat in quantum physics?,valid
Who is the president of Australia?,valid
What do people eat in COVID-19?,valid
How far is Japan from South Africa?,valid
When is Olympics celebrated?,valid
What are the side effects of Australia?,valid
What is the time in Japan?,valid
What are the side effects of blockchain?,valid
Current prime minister of machine learning,valid
What are the side effects of Canada?,valid
What is the population of democracy?,valid
How far is Brazil from Canada?,valid
How many people live in China?,valid
How far is Italy from South Africa?,valid
Best movies of breakfast recipes,valid
How many people live in Italy?,valid
How far is India from Japan?,valid
What are the job opportunities in Japan?,valid
What does democracy mean?,valid
What are the side effects of Japan?,valid
When is quantum physics celebrated?,valid
What is the average salary in quantum physics?,valid
How far is Australia from USA?,valid
How far is Canada from Japan?,valid
Famous festivals in blockchain,valid
What do people eat in blockchain?,valid
When is blockchain celebrated?,valid
How far is South Africa from India?,valid
How far is India from China?,valid
When was cricket founded?,valid
Top tourist attractions in blockchain,valid
Current prime minister of COVID-19,valid
How far is Italy from Japan?,valid
When was USA founded?,valid
How many people live in blockchain?,valid
What are the job opportunities in Brazil?,valid
What language is spoken in Germany?,valid
When is cricket celebrated?,valid
Top tourist attractions in Australia,valid
Current prime minister of blockchain,valid
What are the job opportunities in South Africa?,valid
What language is spoken in Canada?,valid
How far is Canada from Germany?,valid
Who is the president of quantum physics?,valid
Who is the president of Australia?,valid
How far is Germany from Italy?,valid
When was Canada founded?,valid
What is the capital of cricket?,valid
What is the weather like in Australia?,valid
What are the symptoms of artificial intelligence?,valid
What is the time in Brazil?,valid
What is the population of South Africa?,valid
How far is Italy from China?,valid
How far is Italy from Australia?,valid
What is the time in blockchain?,valid
What does Japan mean?,valid
Current prime minister of Italy,valid
Top tourist attractions in machine learning,valid
Top tourist attractions in Canada,valid
Best movies of South Africa,valid
What language is spoken in Olympics?,valid
Who is the president of Canada?,valid
When is COVID-19 celebrated?,valid
How far is Canada from Italy?,valid
How to make quantum physics?,valid
Best movies of machine learning,valid
Famous festivals in Japan,valid
What do people eat in artificial intelligence?,valid
Best movies of blockchain,valid
What is the GDP of quantum physics?,valid
What is the GDP of breakfast recipes?,valid
Famous festivals in breakfast recipes,valid
Best movies of South Africa,valid
What are the symptoms of India?,valid
How far is Japan from Australia?,valid
How far is USA from Brazil?,valid
What is the average salary in India?,valid
What language is spoken in Brazil?,valid
When was Japan founded?,valid
Top tourist attractions in USA,valid
Latest news about cricket,valid
When was Italy founded?,valid
What do people eat in climate change?,valid
Who is the president of India?,valid
What are the side effects of China?,valid
What does Olympics mean?,valid
List of engineering colleges in cricket,valid
Best movies of India,valid
What is the weather like in Australia?,valid
How far is China from India?,valid
What are the symptoms of climate change?,valid
What do people eat in machine learning?,valid
When is Italy celebrated?,valid
What language is spoken in Brazil?,valid
What is the weather like in India?,valid
How far is Germany from Japan?,valid
How far is USA from Canada?,valid
What is the weather like in Olympics?,valid
How far is China from Italy?,valid
When is Brazil celebrated?,valid
Famous festivals in Canada,valid
Famous festivals in Japan,valid
Who is the president of Italy?,valid
How to apply for India?,valid
What does machine learning mean?,valid
How far is Brazil from USA?,valid
What are the job opportunities in machine learning?,valid
What is the GDP of Japan?,valid
Best movies of COVID-19,valid
What language is spoken in Brazil?,valid
When was Japan founded?,valid
How far is South Africa from China?,valid
What is the weather like in climate change?,valid
How to apply for Brazil?,valid
How to apply for machine learning?,valid
What is the weather like in South Africa?,valid
What is the weather like in quantum physics?,valid
How many people live in Canada?,valid
How far is Japan from China?,valid
Current prime minister of Olympics,valid
How far is Japan from Germany?,valid
What are the side effects of Canada?,valid
What language is spoken in South Africa?,valid
What is the average salary in blockchain?,valid
What is the weather like in machine learning?,valid
When is blockchain celebrated?,valid
What do people eat in China?,valid
Latest news about blockchain,valid
What is the weather like in quantum physics?,valid
What is the average salary in Australia?,valid
How to make COVID-19?,valid
What are the job opportunities in China?,valid
Famous festivals in cricket,valid
Top tourist attractions in India,valid
What language is spoken in Australia?,valid
When was Brazil founded?,valid
What are the symptoms of Japan?,valid
Who is the president of cricket?,valid
How many people live in India?,valid
Famous festivals in Brazil,valid
What is the average salary in South Africa?,valid
How to make COVID-19?,valid
Best movies of Italy,valid
Best movies of China,valid
What do people eat in democracy?,valid
What are the symptoms of COVID-19?,valid
How far is China from USA?,valid
How far is Australia from China?,valid
Current prime minister of Italy,valid
How far is Australia from South Africa?,valid
What is the time in democracy?,valid
How far is USA from South Africa?,valid
When is Japan celebrated?,valid
How many people live in Brazil?,valid
Best movies of COVID-19,valid
What does machine learning mean?,valid
Latest news about breakfast recipes,valid
What are the job opportunities in Germany?,valid
How far is Canada from Brazil?,valid
How to apply for artificial intelligence?,valid
How far is Italy from Canada?,valid
How far is India from Australia?,valid
What is the population of Germany?,valid
What are the job opportunities in quantum physics?,valid
How far is Japan from India?,valid
What is the GDP of India?,valid
What are the side effects of Germany?,valid
How far is Australia from China?,valid
What do people eat in Japan?,valid
How far is Canada from South Africa?,valid
List of engineering colleges in Australia,valid
Latest news about Canada,valid
Who is the president of breakfast recipes?,valid
What are the side effects of climate change?,valid
How far is Canada from Australia?,valid
Current prime minister of Canada,valid
When is Australia celebrated?,valid
What is the average salary in breakfast recipes?,valid
What does South Africa mean?,valid
What language is spoken in machine learning?,valid
How far is Italy from Japan?,valid
What does USA mean?,valid
What is the time in China?,valid
How far is South Africa from Brazil?,valid
How far is Australia from Italy?,valid
How far is Canada from USA?,valid
What is the average salary in Italy?,valid
How far is Canada from Brazil?,valid
How to apply for cricket?,valid
What does Australia mean?,valid
List of engineering colleges in USA,valid
Current prime minister of quantum physics,valid
What is the GDP of blockchain?,valid
How far is Canada from USA?,valid
How far is South Africa from China?,valid
How to apply for COVID-19?,valid
What is the population of Olympics?,valid
What is the GDP of Italy?,valid
Latest news about Olympics,valid
How far is Brazil from USA?,valid
How far is USA from India?,valid
Famous festivals in Italy,valid
What are the side effects of Olympics?,valid
What is the weather like in climate change?,valid
How far is South Africa from China?,valid
What are the side effects of breakfast recipes?,valid
What does climate change mean?,valid
How many people live in democracy?,valid
How far is Germany from South Africa?,valid
What are the side effects of COVID-19?,valid
How far is South Africa from Italy?,valid
Latest news about climate change,valid
What language is spoken in China?,valid
What is the population of COVID-19?,valid
How far is India from Germany?,valid
Latest news about cricket,valid
What are the job opportunities in India?,valid
When is Japan celebrated?,valid
How many people live in India?,valid
Who is the president of Australia?,valid
What do people eat in blockchain?,valid
How far is Canada from USA?,valid
How far is USA from Brazil?,valid
Top tourist attractions in climate change,valid
How many people live in quantum physics?,valid
What is the time in Japan?,valid
Latest news about Australia,valid
What is the capital of Australia?,valid
How far is Italy from South Africa?,valid
How far is Japan from Brazil?,valid
What are the side effects of Japan?,valid
How far is India from Australia?,valid
Top tourist attractions in cricket,valid
What are the side effects of Japan?,valid
What are the job opportunities in Australia?,valid
What is the population of Olympics?,valid
What is the time in South Africa?,valid
Who is the president of climate change?,valid
What language is spoken in Germany?,valid
What language is spoken in India?,valid
How far is Brazil from Canada?,valid
List of engineering colleges in artificial intelligence,valid
How far is India from Italy?,valid
What is the weather like in climate change?,valid
How far is South Africa from Japan?,valid
What are the symptoms of quantum physics?,valid
What is the GDP of COVID-19?,valid
How far is Italy from India?,valid
What language is spoken in Japan?,valid
How far is Japan from Australia?,valid
List of engineering colleges in Olympics,valid
List of engineering colleges in Germany,valid
When was Olympics founded?,valid
Current prime minister of Olympics,valid
What is the population of China?,valid
Latest news about quantum physics,valid
List of engineering colleges in quantum physics,valid
How far is Japan from Australia?,valid
What is the population of breakfast recipes?,valid
Famous festivals in USA,valid
How far is Japan from Australia?,valid
Famous festivals in Brazil,valid
How to apply for Olympics?,valid
Best movies of Canada,valid
How to make machine learning?,valid
What is the GDP of machine learning?,valid
What do people eat in USA?,valid
What is the average salary in China?,valid
How far is Brazil from Australia?,valid
How to make blockchain?,valid
How to make Canada?,valid
How far is India from China?,valid
How far is Australia from India?,valid
What is the weather like in machine learning?,valid
How to make breakfast recipes?,valid
How far is Canada from India?,valid
How many people live in Olympics?,valid
How far is Japan from China?,valid
When is Olympics celebrated?,valid
What are the side effects of machine learning?,valid
When was Italy founded?,valid
Current prime minister of democracy,valid
What is the GDP of Australia?,valid
What are the side effects of Italy?,valid
What is the population of machine learning?,valid
What are the job opportunities in artificial intelligence?,valid
Latest news about blockchain,valid
Famous festivals in breakfast recipes,valid
How far is Brazil from China?,valid
Top tourist attractions in Canada,valid
How far is Germany from Australia?,valid
What do people eat in USA?,valid
What is the capital of blockchain?,valid
What does artificial intelligence mean?,valid
Top tourist attractions in artificial intelligence,valid
How to make Brazil?,valid
What is the average salary in Italy?,valid
What is the capital of blockchain?,valid
How far is India from South Africa?,valid
What is the weather like in machine learning?,valid
What is the weather like in Brazil?,valid
Who is the president of blockchain?,valid
What is the weather like in USA?,valid
Who is the president of artificial intelligence?,valid
What is the average salary in Australia?,valid
Current prime minister of blockchain,valid
What are the side effects of Canada?,valid
What is the weather like in democracy?,valid
How far is Japan from Brazil?,valid
What is the population of Canada?,valid
What does quantum physics mean?,valid
What is the population of Australia?,valid
What are the symptoms of South Africa?,valid
What is the population of USA?,valid
What do people eat in machine learning?,valid
List of engineering colleges in quantum physics,valid
What is the average salary in USA?,valid
What are the job opportunities in Brazil?,valid
What are the side effects of China?,valid
Latest news about breakfast recipes,valid
How many people live in quantum physics?,valid
Top tourist attractions in Germany,valid
What is the average salary in breakfast recipes?,valid
What are the side effects of Germany?,valid
List of engineering colleges in COVID-19,valid
List of engineering colleges in cricket,valid
What does Japan mean?,valid
What does Brazil mean?,valid
What do people eat in democracy?,valid
What language is spoken in quantum physics?,valid
When is South Africa celebrated?,valid
How far is USA from Australia?,valid
What is the capital of breakfast recipes?,valid
What is the capital of Australia?,valid
What does China mean?,valid
When is Australia celebrated?,valid
How far is Italy from India?,valid
Latest news about Japan,valid
What are the job opportunities in quantum physics?,valid
Best movies of India,valid
How far is South Africa from China?,valid
When is Italy celebrated?,valid
Best movies of South Africa,valid
Famous festivals in Japan,valid
When is artificial intelligence celebrated?,valid
What does Brazil mean?,valid
How far is Canada from South Africa?,valid
When is blockchain celebrated?,valid
Latest news about Japan,valid
What are the symptoms of Germany?,valid
Current prime minister of climate change,valid
When is machine learning celebrated?,valid
When was quantum physics founded?,valid
What is the population of quantum physics?,valid
List of engineering colleges in Canada,valid
Current prime minister of machine learning,valid
Famous festivals in USA,valid
Who is the president of India?,valid
What language is spoken in machine learning?,valid
What language is spoken in Japan?,valid
Current prime minister of machine learning,valid
What is the population of artificial intelligence?,valid
What are the side effects of machine learning?,valid
How to make Italy?,valid
How far is Australia from Germany?,valid
What is the GDP of cricket?,valid
What is the average salary in USA?,valid
How to apply for machine learning?,valid
What is the time in Japan?,valid
When was COVID-19 founded?,valid
What is the GDP of quantum physics?,valid
How far is Brazil from Japan?,valid
What does blockchain mean?,valid
How far is USA from Italy?,valid
What do people eat in blockchain?,valid
How far is China from Brazil?,valid
How far is Brazil from Italy?,valid
When is cricket celebrated?,valid
What is the weather like in artificial intelligence?,valid
Current prime minister of USA,valid
What is the time in USA?,valid
How far is India from Australia?,valid
What is the capital of democracy?,valid
What is the GDP of Germany?,valid
When is Brazil celebrated?,valid
What language is spoken in Brazil?,valid
Top tourist attractions in Italy,valid
How far is Japan from Germany?,valid
What is the time in breakfast recipes?,valid
Best movies of Italy,valid
How many people live in quantum physics?,valid
Famous festivals in Brazil,valid
What is the average salary in COVID-19?,valid
What language is spoken in Australia?,valid
How far is Japan from Australia?,valid
What is the capital of blockchain?,valid
What does cricket mean?,valid
What is the time in artificial intelligence?,valid
When was India founded?,valid
How to make Brazil?,valid
What is the capital of Brazil?,valid
How far is Italy from South Africa?,valid
Who is the president of cricket?,valid
What does Olympics mean?,valid
Who is the president of blockchain?,valid
What are the job opportunities in Japan?,valid
What are the side effects of South Africa?,valid
Best movies of quantum physics,valid
How far is China from Italy?,valid
What is the GDP of India?,valid
When was democracy founded?,valid
When was Italy founded?,valid
Who is the president of blockchain?,valid
When was breakfast recipes founded?,valid
How far is India from USA?,valid
What is the time in machine learning?,valid
How far is South Africa from China?,valid
What is the time in India?,valid
When is Japan celebrated?,valid
Top tourist attractions in Germany,valid
What language is spoken in Canada?,valid
When is Brazil celebrated?,valid
Current prime minister of blockchain,valid
What are the side effects of China?,valid
How far is South Africa from Italy?,valid
How to make Australia?,valid
What are the symptoms of democracy?,valid
How far is USA from Australia?,valid
What language is spoken in Brazil?,valid
Latest news about democracy,valid
How far is USA from Brazil?,valid
What is the GDP of blockchain?,valid
Latest news about Japan,valid
How to make India?,valid
What are the symptoms of Japan?,valid
What is the capital of breakfast recipes?,valid
How many people live in China?,valid
How far is South Africa from Canada?,valid
When is USA celebrated?,valid
Famous festivals in quantum physics,valid
List of engineering colleges in Brazil,valid
What are the job opportunities in Australia?,valid
How far is Germany from Japan?,valid
Translate 'hello' to Spanish,invalid
Navigate to home,invalid
Book cab to airport,invalid
Schedule a meeting tomorrow,invalid
Turn off the lights in the living room,invalid
Play my workout playlist,invalid
Record a video,invalid
Turn off the lights in the living room,invalid
Make a note of this,invalid
Record a video,invalid
Send money to Rahul,invalid
Remind me to walk the dog,invalid
Make a note of this,invalid
Turn off the lights in the living room,invalid
Text Sam I'm running late,invalid
Add milk to grocery list,invalid
Set a timer for 20 minutes,invalid
Navigate to home,invalid
Turn off the lights in the living room,invalid
Record a video,invalid
Download the latest episode,invalid
Book cab to airport,invalid
Play my workout playlist,invalid
Download the latest episode,invalid
Schedule a meeting tomorrow,invalid
Translate 'hello' to Spanish,invalid
Add event to calendar,invalid
Translate 'hello' to Spanish,invalid
Set alarm for 5 AM,invalid
Set alarm for 5 AM,invalid
Turn on Bluetooth,invalid
Add event to calendar,invalid
Remind me to walk the dog,invalid
Open YouTube,invalid
Schedule a meeting tomorrow,invalid
Remind me to walk the dog,invalid
Make a note of this,invalid
Open YouTube,invalid
Translate 'hello' to Spanish,invalid
Send money to Rahul,invalid
Book an appointment with dentist,invalid
Translate 'hello' to Spanish,invalid
Post this on Instagram,invalid
Download the latest episode,invalid
Translate 'hello' to Spanish,invalid
Navigate to home,invalid
Set alarm for 5 AM,invalid
Wake me up at 7 AM,invalid
Turn on Bluetooth,invalid
Remind me to walk the dog,invalid
Text Sam I'm running late,invalid
Add milk to grocery list,invalid
Set a timer for 20 minutes,invalid
Turn on Do Not Disturb,invalid
Turn on Do Not Disturb,invalid
Make a note of this,invalid
Play my workout playlist,invalid
Remind me to walk the dog,invalid
Increase volume,invalid
Translate 'hello' to Spanish,invalid
Turn on Bluetooth,invalid
Send money to Rahul,invalid
Send money to Rahul,invalid
Turn off the lights in the living room,invalid
Wake me up at 7 AM,invalid
Turn on Bluetooth,invalid
Increase volume,invalid
Schedule a meeting tomorrow,invalid
Add event to calendar,invalid
Add event to calendar,invalid
Open YouTube,invalid
Send money to Rahul,invalid
Add event to calendar,invalid
Increase volume,invalid
Turn on Do Not Disturb,invalid
Check battery level,invalid
Call mom,invalid
Turn on Do Not Disturb,invalid
Navigate to home,invalid
Increase volume,invalid
Check battery level,invalid
Increase volume,invalid
Turn on Bluetooth,invalid
Navigate to home,invalid
Open YouTube,invalid
Schedule a meeting tomorrow,invalid
Increase volume,invalid
Make a note of this,invalid
Send money to Rahul,invalid
Open YouTube,invalid
Increase volume,invalid
Increase volume,invalid
Text Sam I'm running late,invalid
Schedule a meeting tomorrow,invalid
Text Sam I'm running late,invalid
Set alarm for 5 AM,invalid
Set alarm for 5 AM,invalid
Remind me to walk the dog,invalid
Add event to calendar,invalid
Book an appointment with dentist,invalid
Open YouTube,invalid
Download the latest episode,invalid
Post this on Instagram,invalid
Set alarm for 5 AM,invalid
Increase volume,invalid
Text Sam I'm running late,invalid
Increase volume,invalid
Call mom,invalid
Translate 'hello' to Spanish,invalid
Play my workout playlist,invalid
Play my workout playlist,invalid
Turn off the lights in the living room,invalid
Send money to Rahul,invalid
Check battery level,invalid
Download the latest episode,invalid
Translate 'hello' to Spanish,invalid
Make a note of this,invalid
Call mom,invalid
Make a note of this,invalid
Download the latest episode,invalid
Download the latest episode,invalid
Check battery level,invalid
Download the latest episode,invalid
Wake me up at 7 AM,invalid
Wake me up at 7 AM,invalid
Turn on Bluetooth,invalid
Remind me to walk the dog,invalid
Post this on Instagram,invalid
Send money to Rahul,invalid
Open YouTube,invalid
Send money to Rahul,invalid
Turn on Bluetooth,invalid
Turn off the lights in the living room,invalid
Navigate to home,invalid
Set alarm for 5 AM,invalid
Navigate to home,invalid
Text Sam I'm running late,invalid
Add event to calendar,invalid
Open YouTube,invalid
Translate 'hello' to Spanish,invalid
Record a video,invalid
Increase volume,invalid
Add milk to grocery list,invalid
Send money to Rahul,invalid
Open YouTube,invalid
Send money to Rahul,invalid
Remind me to walk the dog,invalid
Translate 'hello' to Spanish,invalid
Set alarm for 5 AM,invalid
Text Sam I'm running late,invalid
Download the latest episode,invalid
Set a timer for 20 minutes,invalid
Add milk to grocery list,invalid
Text Sam I'm running late,invalid
Make a note of this,invalid
Schedule a meeting tomorrow,invalid
Send money to Rahul,invalid
Call mom,invalid
Check battery level,invalid
Send money to Rahul,invalid
Wake me up at 7 AM,invalid
Make a note of this,invalid
Set a timer for 20 minutes,invalid
Send money to Rahul,invalid
Open YouTube,invalid
Book cab to airport,invalid
Add milk to grocery list,invalid
Turn on Do Not Disturb,invalid
Email this document to John,invalid
Text Sam I'm running late,invalid
Schedule a meeting tomorrow,invalid
Set a timer for 20 minutes,invalid
Post this on Instagram,invalid
Download the latest episode,invalid
Email this document to John,invalid
Translate 'hello' to Spanish,invalid
Check battery level,invalid
Book an appointment with dentist,invalid
Book cab to airport,invalid
Translate 'hello' to Spanish,invalid
Set a timer for 20 minutes,invalid
Navigate to home,invalid
Remind me to walk the dog,invalid
Book cab to airport,invalid
Schedule a meeting tomorrow,invalid
Call mom,invalid
Send money to Rahul,invalid
Set alarm for 5 AM,invalid
Set alarm for 5 AM,invalid
Make a note of this,invalid
Wake me up at 7 AM,invalid
Download the latest episode,invalid
Turn on Bluetooth,invalid
Turn off the lights in the living room,invalid
Open YouTube,invalid
Email this document to John,invalid
Turn off the lights in the living room,invalid
Increase volume,invalid
Remind me to walk the dog,invalid
Remind me to walk the dog,invalid
Add event to calendar,invalid
Translate 'hello' to Spanish,invalid
Download the latest episode,invalid
Send money to Rahul,invalid
Schedule a meeting tomorrow,invalid
Turn off the lights in the living room,invalid
Increase volume,invalid
Make a note of this,invalid
Post this on Instagram,invalid
Play my workout playlist,invalid
Remind me to walk the dog,invalid
Add milk to grocery list,invalid
Play my workout playlist,invalid
Text Sam I'm running late,invalid
Text Sam I'm running late,invalid
Send money to Rahul,invalid
Post this on Instagram,invalid
Add milk to grocery list,invalid
Add event to calendar,invalid
Download the latest episode,invalid
Send money to Rahul,invalid
Open YouTube,invalid
Add milk to grocery list,invalid
Navigate to home,invalid
Download the latest episode,invalid
Remind me to walk the dog,invalid
Open YouTube,invalid
Add milk to grocery list,invalid
Turn on Do Not Disturb,invalid
Call mom,invalid
Set a timer for 20 minutes,invalid
Set a timer for 20 minutes,invalid
Set a timer for 20 minutes,invalid
Download the latest episode,invalid
Add event to calendar,invalid
Post this on Instagram,invalid
Book an appointment with dentist,invalid
Play my workout playlist,invalid
Call mom,invalid
Send money to Rahul,invalid
Make a note of this,invalid
Set a timer for 20 minutes,invalid
Remind me to walk the dog,invalid
Open YouTube,invalid
Download the latest episode,invalid
Check battery level,invalid
Post this on Instagram,invalid
Call mom,invalid
Make a note of this,invalid
Download the latest episode,invalid
Wake me up at 7 AM,invalid
Text Sam I'm running late,invalid
Schedule a meeting tomorrow,invalid
Make a note of this,invalid
Post this on Instagram,invalid
Turn off the lights in the living room,invalid
Download the latest episode,invalid
Add event to calendar,invalid
Text Sam I'm running late,invalid
Turn on Do Not Disturb,invalid
Book cab to airport,invalid
Post this on Instagram,invalid
Add event to calendar,invalid
Set alarm for 5 AM,invalid
Add event to calendar,invalid
Remind me to walk the dog,invalid
Schedule a meeting tomorrow,invalid
Remind me to walk the dog,invalid
Wake me up at 7 AM,invalid
Record a video,invalid
Translate 'hello' to Spanish,invalid
Call mom,invalid
Open YouTube,invalid
Add event to calendar,invalid
Increase volume,invalid
Make a note of this,invalid
Set alarm for 5 AM,invalid
Turn on Bluetooth,invalid
Send money to Rahul,invalid
Set a timer for 20 minutes,invalid
Post this on Instagram,invalid
Text Sam I'm running late,invalid
Wake me up at 7 AM,invalid
Call mom,invalid
Record a video,invalid
Post this on Instagram,invalid
Turn on Bluetooth,invalid
Turn on Bluetooth,invalid
Wake me up at 7 AM,invalid
Make a note of this,invalid
Turn off the lights in the living room,invalid
Wake me up at 7 AM,invalid
Open YouTube,invalid
Turn on Bluetooth,invalid
Set a timer for 20 minutes,invalid
Open YouTube,invalid
Turn on Do Not Disturb,invalid
Navigate to home,invalid
Book cab to airport,invalid
Post this on Instagram,invalid
Translate 'hello' to Spanish,invalid
Turn off the lights in the living room,invalid
Add event to calendar,invalid
Turn on Do Not Disturb,invalid
Set alarm for 5 AM,invalid
Post this on Instagram,invalid
Set alarm for 5 AM,invalid
Schedule a meeting tomorrow,invalid
Text Sam I'm running late,invalid
Email this document to John,invalid
Email this document to John,invalid
Download the latest episode,invalid
Book an appointment with dentist,invalid
Set a timer for 20 minutes,invalid
Translate 'hello' to Spanish,invalid
Navigate to home,invalid
Navigate to home,invalid
Send money to Rahul,invalid
Add milk to grocery list,invalid
Make a note of this,invalid
Post this on Instagram,invalid
Set alarm for 5 AM,invalid
Translate 'hello' to Spanish,invalid
Make a note of this,invalid
Post this on Instagram,invalid
Set a timer for 20 minutes,invalid
Add event to calendar,invalid
Text Sam I'm running late,invalid
Record a video,invalid
Remind me to walk the dog,invalid
Set a timer for 20 minutes,invalid
Increase volume,invalid
Add milk to grocery list,invalid
Turn off the lights in the living room,invalid
Post this on Instagram,invalid
Call mom,invalid
Set a timer for 20 minutes,invalid
Turn on Bluetooth,invalid
Set alarm for 5 AM,invalid
Schedule a meeting tomorrow,invalid
Set alarm for 5 AM,invalid
Add milk to grocery list,invalid
Download the latest episode,invalid
Download the latest episode,invalid
Book cab to airport,invalid
Make a note of this,invalid
Record a video,invalid
Navigate to home,invalid
Set a timer for 20 minutes,invalid
Make a note of this,invalid
Remind me to walk the dog,invalid
Translate 'hello' to Spanish,invalid
Wake me up at 7 AM,invalid
Increase volume,invalid
Turn on Do Not Disturb,invalid
Remind me to walk the dog,invalid
Email this document to John,invalid
Set alarm for 5 AM,invalid
Schedule a meeting tomorrow,invalid
Remind me to walk the dog,invalid
Set alarm for 5 AM,invalid
Book an appointment with dentist,invalid
Add milk to grocery list,invalid
Schedule a meeting tomorrow,invalid
Navigate to home,invalid
Call mom,invalid
Open YouTube,invalid
Turn off the lights in the living room,invalid
Email this document to John,invalid
Translate 'hello' to Spanish,invalid
Schedule a meeting tomorrow,invalid
Record a video,invalid
Send money to Rahul,invalid
Download the latest episode,invalid
Download the latest episode,invalid
Check battery level,invalid
Check battery level,invalid
Remind me to walk the dog,invalid
Remind me to walk the dog,invalid
Play my workout playlist,invalid
Call mom,invalid
Make a note of this,invalid
Navigate to home,invalid
Book cab to airport,invalid
Remind me to walk the dog,invalid
Email this document to John,invalid
Set a timer for 20 minutes,invalid
Add milk to grocery list,invalid
Book an appointment with dentist,invalid
Record a video,invalid
Email this document to John,invalid
Schedule a meeting tomorrow,invalid
Schedule a meeting tomorrow,invalid
Check battery level,invalid
Make a note of this,invalid
Turn off the lights in the living room,invalid
Call mom,invalid
Make a note of this,invalid
Remind me to walk the dog,invalid
Turn off the lights in the living room,invalid
Schedule a meeting tomorrow,invalid
Navigate to home,invalid
Play my workout playlist,invalid
Record a video,invalid
Add milk to grocery list,invalid
Post this on Instagram,invalid
Turn on Bluetooth,invalid
Turn on Bluetooth,invalid
Send money to Rahul,invalid
Increase volume,invalid
Call mom,invalid
Download the latest episode,invalid
Add milk to grocery list,invalid
Play my workout playlist,invalid
Wake me up at 7 AM,invalid
Set a timer for 20 minutes,invalid
Remind me to walk the dog,invalid
Send money to Rahul,invalid
Call mom,invalid
Add event to calendar,invalid
Turn on Bluetooth,invalid
Increase volume,invalid
Add event to calendar,invalid
Turn on Do Not Disturb,invalid
Turn off the lights in the living room,invalid
Make a note of this,invalid
Book cab to airport,invalid
Wake me up at 7 AM,invalid
Book an appointment with dentist,invalid
Record a video,invalid
Call mom,invalid
Record a video,invalid
Turn on Do Not Disturb,invalid
Text Sam I'm running late,invalid
Make a note of this,invalid
Increase volume,invalid
Wake me up at 7 AM,invalid
Add event to calendar,invalid
Send money to Rahul,invalid
Navigate to home,invalid
Set a timer for 20 minutes,invalid
Increase volume,invalid
Post this on Instagram,invalid
Add event to calendar,invalid
Add milk to grocery list,invalid
Book an appointment with dentist,invalid
Send money to Rahul,invalid
Turn off the lights in the living room,invalid
Turn on Bluetooth,invalid
Add event to calendar,invalid
Add milk to grocery list,invalid
Make a note of this,invalid
Turn on Do Not Disturb,invalid
Record a video,invalid
Play my workout playlist,invalid
Post this on Instagram,invalid
Navigate to home,invalid
Send money to Rahul,invalid
Remind me to walk the dog,invalid
Schedule a meeting tomorrow,invalid
Set alarm for 5 AM,invalid
Check battery level,invalid
Navigate to home,invalid
Add event to calendar,invalid
Text Sam I'm running late,invalid
Turn off the lights in the living room,invalid
Increase volume,invalid
Turn on Bluetooth,invalid
Schedule a meeting tomorrow,invalid
Schedule a meeting tomorrow,invalid
Turn on Bluetooth,invalid
Add event to calendar,invalid
Turn on Do Not Disturb,invalid
Wake me up at 7 AM,invalid
Turn on Do Not Disturb,invalid
Post this on Instagram,invalid
Record a video,invalid
Turn off the lights in the living room,invalid
Book cab to airport,invalid
Record a video,invalid
Turn on Do Not Disturb,invalid
Wake me up at 7 AM,invalid
Book cab to airport,invalid
Turn on Bluetooth,invalid
Schedule a meeting tomorrow,invalid
Add milk to grocery list,invalid
Email this document to John,invalid
Set alarm for 5 AM,invalid
Call mom,invalid
Send money to Rahul,invalid
Check battery level,invalid
Wake me up at 7 AM,invalid
Turn on Do Not Disturb,invalid
Turn off the lights in the living room,invalid
Turn on Bluetooth,invalid
Book an appointment with dentist,invalid
Open YouTube,invalid
Send money to Rahul,invalid
Turn on Do Not Disturb,invalid
Set alarm for 5 AM,invalid
